smiles,D
O=[N+]([O-])C(CC(F)([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.653193
O=[N+]([O-])N(CCC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.508996
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCNN(CCC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.7825775
O=[N+]([O-])c1cn(Nc2cnon2)cn1,7.4339294
O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCNC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.187919
CN(CCNC(=O)[N+](=O)[O-])[N+](=O)[O-],7.1280737
O=C(CCN[N+](=O)[O-])CCC(CC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.5945497
O=C(CCN[N+](=O)[O-])CN(CCN(CC[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.075185
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC(COC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.329043
Nc1nonc1C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.239666
O=[N+]([O-])N(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.768479
CCN(N(C(=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.465483
CC(C)(CON([N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.292634
CC(NOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.046122
O=[N+]([O-])c1nc[nH]c1-c1no[n+]([O-])c1-n1nccn1,7.650633
CC(C)(C)NC(CC#N)([N+](=O)[O-])[N+](=O)[O-],6.2682924
O=[N+]([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])c(-n3nc([N+](=O)[O-])cc3[N+](=O)[O-])c-2cn1,7.6497116
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC#CON(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.234123
CCC(CN(CCCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.037318
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.524002
O=[N+]([O-])OCN(Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],7.33092
CCC(CNC(=O)CN(C)[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.7181787
COC(=O)CO[N+](=O)[O-],7.0524483
O=C(NCCN[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.7207465
CC(=O)N(C(=O)OCC(C)(C)[N+](=O)[O-])[N+](=O)[O-],6.3934236
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CC(CCOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.366101
O=c1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c(O)nc1c([N+](=O)[O-])c1nc(O)c1nc([N+](=O)[O-])n[nH]2,7.2409062
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc4c(cc32)nnn4-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.379332
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Cc2c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c2[N+](=O)[O-])c1[N+](=O)[O-],7.35625
NC(=O)C(CCN[N+](=O)[O-])C(=O)CO,6.5225954
O=[N+]([O-])N(CO)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.701839
Nc1c2c(CCO)nc-2c([N+](=O)[O-])c(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c(N)c1[N+](=O)[O-],7.4748073
O=C1N(CCN[N+](=O)[O-])C2C(C3c4c(cc([N+](=O)[O-])cc4[N+](=O)[O-])N=Nn4n(CCO)c(=O)n43)C2N1n1c([N+](=O)[O-])nnc1[N+](=O)[O-],7.242763
O=c1c2cc([N+](=O)[O-])cc([N+](=O)[O-])cnc1c([N+](=O)[O-])c1nc(C3NCNC(=N[N+](=O)[O-])N3)n1cnc([N+](=O)[O-])n2,7.190912
O=C(c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1)N(Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],7.1773205
CCOC(=O)C(=O)COC,6.0175996
O=C(CCN(CCC(=O)C(=O)NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])NCCO[N+](=O)[O-],7.090009
O=C(C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.626665
O=[N+]([O-])c1cc([N+](=O)[O-])c(CCOC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,8.032994
CC(CC(=O)C(=O)CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.9389834
O=[N+]([O-])NCN(CCN(CC(F)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.423269
O=C(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N(CN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.589288
CC(CNC(=O)NCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.126033
CCC(CC#CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.24861
CC(CNC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.937528
COCN1CN2CN3CC([N+](=O)[O-])=C(O)C([N+](=O)[O-])=CC([N+](=O)[O-])=C3NC([N+](=O)[O-])=C([N+](=O)[O-])N=C2N(C(=O)CC(C)([N+](=O)[O-])[N+](=O)[O-])C1,7.022085
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2nonc2CO)c([N+](=O)[O-])c1,7.2205524
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cnn(F)c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.537648
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nnn2c(c([N+](=O)[O-])c1[N+](=O)[O-])C(C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])=C2CO,7.823324
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NC(=O)C(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.475481
O=C(NC(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],8.202613
O=[N+]([O-])c1ncnn1-c1no[n+]([O-])c1[N+](=O)[O-],8.8614025
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.844634
O=[N+]([O-])OCc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],7.0425024
COC(=O)N(CCN(C)[N+](=O)[O-])[N+](=O)[O-],6.8196955
CC(Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])N(CC#N)[N+](=O)[O-],6.761825
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cc2nc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.194442
O=C(OCCO[N+](=O)[O-])OOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.143682
CN(C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.322995
O=[N+]([O-])N1CN([N+](=O)[O-])C2C3C(C21)N(F)CN3F,7.623545
O=C(CCN(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CN[N+](=O)[O-],7.38774
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(-n3cnc([N+](=O)[O-])c3)c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.48377
N#CNC(=O)C(=O)OC1([N+](=O)[O-])C=C([N+](=O)[O-])C=C1[N+](=O)[O-],7.255271
CC(C)(C)NN1C(=O)N(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C2(C)N(CO[N+](=O)[O-])C(=O)N([N+](=O)[O-])C12C,6.856769
CC(CC(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(c1nonc1N)c1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.758736
O=[N+]([O-])OCC(CC(CN(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.521019
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nc([N+](=O)[O-])c([N+](=O)[O-])nc2-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.5817575
O=[N+]([O-])c1cc([N+](=O)[O-])c(NCN([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,8.174053
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2ccc([N+](=O)[O-])c([O-])c2[N+](=O)[O-])c1[N+](=O)[O-],7.273155
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cn2ncc([N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.344117
CN(Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],6.6819754
O=[N+]([O-])NCCNCN([N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.817859
CC(N)Cc1cc([N+](=O)[O-])c(N=Nc2nc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.085489
O=[N+]([O-])N(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.762499
O=C(OC#COC(=O)N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.318019
O=CN1CN([N+](=O)[O-])CN(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CN([N+](=O)[O-])C1,8.019572
O=[N+]([O-])c1cn(CO)cn1,6.972679
O=C(CCN[N+](=O)[O-])CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.175708
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2ncc([N+](=O)[O-])c(O)c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.4572163
CCON(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.095985
CC(C)NC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.727578
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(C2NCNC(=N[N+](=O)[O-])N2)c1[N+](=O)[O-],7.3904943
CC(CNOC#COC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.285975
O=C(O)CCC(CC(CC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.7438917
CN(CC(C)(CN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.1233907
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCN(CO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.269221
CCC(CNC(=O)C12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C(=O)OC)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.7472563
O=[N+]([O-])OCCNc1c([N+](=O)[O-])c(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.232267
COCC(=O)CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.880865
N#[N+]c1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.618753
NC(=O)CN(CN(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.194059
O=C1NC2CNC(=N[N+](=O)[O-])NCN3N(CN3C3NCC([N+](=O)[O-])([N+](=O)[O-])CC3([N+](=O)[O-])[N+](=O)[O-])C2N1[N+](=O)[O-],7.5884333
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCN(CCC(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])O[N+](=O)[O-],8.303602
O=[N+]([O-])c1ccc(-c2cc([N+](=O)[O-])c(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.3125443
O=[N+]([O-])OCCNc1c([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],7.813098
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1cc([N+](=O)[O-])nn1,8.252543
O=[N+]([O-])N(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CNn1ccnn1,7.9830866
O=C(CO[N+](=O)[O-])NCNC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.225484
O=[N+]([O-])OC(CCC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.522094
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c(-n2c([N+](=O)[O-])nnc2[N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.572325
